2017,,,,,,,,,2018,,,,,,,,,2019,,,,,,,
Day Order,Season,Day of Week,Period,Time,Date,Column1,Hour,,Day Order,Season,Day of Week,Period,Time,Date,Column1,Hour,,Day Order,Season,Day of Week,Period,Time,Date,Column1,Column2
363,3,5,2,17.5337,12/29/2017,9,9:00 AM,,345,3,2,3,12.0208,12/11/2018,12,12:00 PM,,350,3,1,1,16.117,12/16/2019,6,6:00 AM
364,3,6,1,7.77101,12/30/2017,6,6:00 AM,,351,3,1,3,13.1581,12/17/2018,12,12:00 PM,,354,3,5,1,8.08119,12/20/2019,6,6:00 AM
364,3,6,1,13.1535,12/30/2017,6,6:00 AM,,354,3,4,3,8.56633,12/20/2018,12,12:00 PM,,354,3,5,4,17.7405,12/20/2019,15,3:00 PM
,,,,,,,,,355,3,5,2,9.48183,12/21/2018,9,9:00 AM,,357,3,1,4,9.27231,12/23/2019,15,3:00 PM
,,,,,,,,,358,3,1,3,15.381,12/24/2018,12,12:00 PM,,357,3,1,3,12.5054,12/23/2019,12,12:00 PM
,,,,,,,,,363,3,6,2,7.80069,12/29/2018,9,9:00 AM,,357,3,1,4,12.848,12/23/2019,15,3:00 PM
,,,,,,,,,363,3,6,3,14.4248,12/29/2018,12,12:00 PM,,358,3,2,2,13.4705,12/24/2019,9,9:00 AM
,,,,,,,,,,,,,,,,,,358,3,2,4,13.6289,12/24/2019,15,3:00 PM
,,,,,,,,,,,,,,,,,,364,3,1,4,15.2466,12/30/2019,15,3:00 PM
,,,,,,,,,,,,,,,,,,365,,,,,12/31/2019,0,12:00 AM
